cell,x,y,stem
tumor,0,0,0
tumor,0,1,0
tumor,0,2,0
lymphocyte,0,3,0
lymphocyte,0,4,0
lymphocyte,0,5,0
lymphocyte,0,6,0
lymphocyte,0,7,0
lymphocyte,0,8,0
lymphocyte,0,9,0
lymphocyte,0,10,0
lymphocyte,0,11,0
lymphocyte,0,12,0
lymphocyte,0,13,0
lymphocyte,0,14,0
lymphocyte,0,15,0
lymphocyte,0,16,0
lymphocyte,0,17,0
lymphocyte,0,18,0
lymphocyte,0,19,0
lymphocyte,0,20,0
lymphocyte,0,21,0
lymphocyte,0,22,0
lymphocyte,0,23,0
lymphocyte,0,24,0
lymphocyte,0,25,0
lymphocyte,0,26,0
lymphocyte,0,27,0
lymphocyte,0,28,0
lymphocyte,0,29,0
lymphocyte,0,30,0
lymphocyte,0,31,0
lymphocyte,0,32,0
tumor,0,33,0
tumor,0,34,0
tumor,0,35,0
tumor,0,36,0
tumor,0,37,0
tumor,0,38,0
tumor,0,39,0
tumor,0,40,0
tumor,0,41,0
tumor,0,42,0
tumor,0,43,0
tumor,0,44,0
tumor,0,45,0
tumor,0,46,0
tumor,0,47,0
tumor,0,48,0
tumor,0,49,0
tumor,0,50,0
tumor,0,51,0
tumor,0,52,0
lymphocyte,0,53,0
lymphocyte,0,54,0
lymphocyte,0,55,0
lymphocyte,0,56,0
lymphocyte,0,57,0
lymphocyte,0,58,0
lymphocyte,0,59,0
lymphocyte,0,60,0
lymphocyte,0,61,0
lymphocyte,0,62,0
tumor,0,63,0
tumor,0,64,0
tumor,0,65,0
tumor,0,66,0
tumor,0,67,0
tumor,0,68,0
tumor,0,69,0
tumor,0,70,0
tumor,0,71,0
tumor,0,72,0
lymphocyte,0,73,0
lymphocyte,0,74,0
lymphocyte,0,75,0
lymphocyte,0,76,0
lymphocyte,0,77,0
lymphocyte,0,78,0
lymphocyte,0,79,0
lymphocyte,0,80,0
lymphocyte,0,81,0
lymphocyte,0,82,0
lymphocyte,0,83,0
lymphocyte,0,84,0
lymphocyte,0,85,0
lymphocyte,0,86,0
lymphocyte,0,87,0
lymphocyte,0,88,0
lymphocyte,0,89,0
lymphocyte,0,90,0
lymphocyte,0,91,0
lymphocyte,0,92,0
tumor,0,93,0
tumor,0,94,0
tumor,0,95,0
tumor,0,96,0
tumor,0,97,0
tumor,0,98,0
tumor,0,99,0
tumor,1,0,0
tumor,1,1,0
tumor,1,2,0
lymphocyte,1,3,0
lymphocyte,1,4,0
lymphocyte,1,5,0
lymphocyte,1,6,0
lymphocyte,1,7,0
lymphocyte,1,8,0
lymphocyte,1,9,0
lymphocyte,1,10,0
lymphocyte,1,11,0
lymphocyte,1,12,0
lymphocyte,1,13,0
lymphocyte,1,14,0
lymphocyte,1,15,0
lymphocyte,1,16,0
lymphocyte,1,17,0
lymphocyte,1,18,0
lymphocyte,1,19,0
lymphocyte,1,20,0
lymphocyte,1,21,0
lymphocyte,1,22,0
lymphocyte,1,23,0
lymphocyte,1,24,0
lymphocyte,1,25,0
lymphocyte,1,26,0
lymphocyte,1,27,0
lymphocyte,1,28,0
lymphocyte,1,29,0
lymphocyte,1,30,0
lymphocyte,1,31,0
lymphocyte,1,32,0
tumor,1,33,0
